GRADES,SCORES,ATTENDANCE,ENGAGEMENT,STUDY HOURS,STYLE,INTEREST,MANAGEMENT,CONSISTENCY,MENTAL_CONDITION,RESPONSE_TO_FEEDBACK,HEALTH_CONDITION,FAST_LEARNER
B,333,71,NEGATIVE,1.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,708,95,POSITIVE,3.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,680,86,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,370,69,NEGATIVE,1.1,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,675,90,POSITIVE,3.3,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,348,70,NEGATIVE,2.5,KINESTHETIC,YES,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,353,70,NEGATIVE,2.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,751,86,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,732,83,POSITIVE,2.6,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,389,76,POSITIVE,1.9,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,333,70,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,623,85,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,689,95,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,455,81,NEGATIVE,1.2,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,333,62,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,369,75,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,723,78,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
C,698,89,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,876,82,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,686,82,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,903,89,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,384,72,NEGATIVE,1.8,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,62,NEGATIVE,1.6,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,72,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,411,64,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,633,93,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C,333,61,NEGATIVE,1.4,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,755,82,POSITIVE,2.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,824,90,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,738,84,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,775,93,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,706,85,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,408,64,POSITIVE,1.1,KINESTHETIC,YES,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,622,82,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
B+,350,74,NEGATIVE,3.2,VISUAL,NO,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,678,92,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,731,91,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,871,94,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,378,72,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,356,68,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,770,87,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,687,95,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,66,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,616,94,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,535,71,NEGATIVE,3.3,AUDITORY,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,333,73,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,75,NEGATIVE,1.6,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,803,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,526,73,NEGATIVE,1.0,VISUAL,YES,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NO
B+,333,71,NEGATIVE,3.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,YES
B+,333,70,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,786,89,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,432,73,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C+,425,81,NEGATIVE,1.3,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,638,95,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,73,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,411,66,POSITIVE,1.0,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,883,95,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B,352,68,POSITIVE,2.9,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NO
C,333,58,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,66,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,357,71,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,356,66,NEGATIVE,2.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,333,60,NEGATIVE,1.1,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,437,75,POSITIVE,1.1,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO
B,416,72,POSITIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NO
A,763,89,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,461,70,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,345,70,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,629,72,POSITIVE,2.4,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
B+,847,69,POSITIVE,2.4,KINESTHETIC,YES,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,643,68,POSITIVE,2.9,VISUAL,YES,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,758,81,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,663,64,POSITIVE,2.8,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,393,68,NEGATIVE,1.0,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,889,88,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,445,61,POSITIVE,1.5,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
A-,702,90,POSITIVE,2.1,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,691,95,POSITIVE,2.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,72,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,758,88,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,386,73,NEGATIVE,1.3,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,714,82,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,363,72,NEGATIVE,2.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,740,67,POSITIVE,2.8,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
C,390,62,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,676,87,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,427,76,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,790,86,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,66,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,526,64,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,333,67,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,774,86,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,60,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,437,66,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,69,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,65,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,794,89,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,66,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,63,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,753,69,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,491,95,POSITIVE,3.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,516,72,POSITIVE,3.1,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
B+,820,81,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,380,81,NEGATIVE,2.5,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NO
C,478,78,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,787,87,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,702,83,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,818,95,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,443,77,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B+,334,74,NEGATIVE,1.7,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,428,75,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,383,76,NEGATIVE,1.2,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,606,61,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,423,72,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,541,73,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,547,72,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,76,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,538,74,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,770,89,POSITIVE,3.1,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,636,81,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,655,89,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,74,NEGATIVE,1.9,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,612,93,POSITIVE,2.8,VISUAL,YES,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,YES
A,773,74,POSITIVE,2.9,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,801,64,POSITIVE,3.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,748,86,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,702,91,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,405,63,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,813,90,POSITIVE,2.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,66,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,333,60,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,593,69,POSITIVE,2.3,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,65,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,530,73,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,747,90,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,68,NEGATIVE,1.9,VISUAL,YES,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,615,86,POSITIVE,3.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,70,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,411,71,NEGATIVE,1.5,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,408,70,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,68,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,678,69,POSITIVE,2.8,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
B,351,65,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,76,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,61,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,741,73,NEGATIVE,2.8,VISUAL,YES,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,YES
A,724,79,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,836,78,POSITIVE,1.1,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,688,85,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,366,63,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A-,333,87,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,68,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,519,73,POSITIVE,3.2,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,706,88,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,460,71,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,831,91,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,439,88,POSITIVE,2.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B,390,70,NEGATIVE,2.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,695,94,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,787,81,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,712,93,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,62,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,661,81,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,781,86,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,61,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,730,66,NEGATIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A+,705,83,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,427,64,NEGATIVE,1.2,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
A,703,90,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,58,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,694,92,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,333,64,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,792,95,POSITIVE,3.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,669,85,POSITIVE,3.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,707,88,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,425,72,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,552,74,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,61,NEGATIVE,2.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,817,87,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,765,92,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,770,84,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,453,77,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,651,94,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,401,74,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,378,76,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,867,91,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,694,89,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,681,94,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,710,86,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,381,68,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,714,91,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,404,79,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,72,NEGATIVE,1.2,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,68,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,697,82,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,825,91,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B,452,61,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,791,81,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,561,74,NEGATIVE,1.0,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,670,86,POSITIVE,2.4,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,351,74,POSITIVE,2.8,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
